Temperature,pH,Blank (no rx),Rx1,Rx2,Rx3
30.00000,4.00000,1.49,0.885,0.851,0.894
30.00000,10.00000,1.665,0.971,1.005,1.016
80.00000,4.00000,1.521,1.038,1.036,1.034
80.00000,10.00000,1.534,1.343,1.315,1.268
19.64466,7.00000,1.65,0.705,0.753,0.753
90.35534,7.00000,1.3,0.945,1.011,1.045
55.00000,2.75736,1.623,0.618,0.664,0.712
55.00000,11.24264,1.667,1.061,1.061,1.039
55.00000,7.00000,1.691,0.14,0.136,0.147
55.00000,7.00000,1.711,0.167,0.144,0.158
55.00000,7.00000,1.783,0.155,0.127,0.114
55.00000,7.00000,1.679,0.163,0.156,0.15
